fid,tht_hg,bht_dm,wtrtb_bt,wdpt_nm,wdpt_cd,lng,lat
"4792",7,19,5,은행나무,GB,127.045115436,37.475295327
"4793",0,8,0,느티나무,ZS,127.022301206,37.483056446
"4794",9,28,5,양버즘나무,PTA,127.025054489,37.495030323
"4818",9,38,8,은행나무,GB,126.998165651,37.495730136
"4795",11,34,8,양버즘나무,PTA,127.012985617,37.493339202
"4796",9,19,5,양버즘나무,PTA,127.015264394,37.486909461
"4797",4,6,2,왕벚나무,PS,127.053087508,37.449759671
"4798",12,27,5,양버즘나무,PTA,127.004968549,37.490327862
"4799",7,16,2,은행나무,GB,127.039441531,37.462909757
"4800",12,39,8,느티나무,ZS,127.032775336,37.484511587
"4801",8,29,5,양버즘나무,PTA,127.028836922,37.487500012
"4802",10,19,6,은행나무,GB,127.010758973,37.509759696
"4803",11,32,6,양버즘나무,PTA,127.006806757,37.491707095
"4804",5,8,3,왕벚나무,PS,127.051462529,37.453196726
"4805",7,27,6,은행나무,GB,127.043207586,37.474017792
"4806",5,10,2,메타세쿼이아,TB,127.004718318,37.476650415
