fid,tht_hg,bht_dm,wtrtb_bt,wdpt_nm,wdpt_cd,lng,lat
"4458",20,32,10,양버즘나무,PTA,127.037773861,37.480144793
"4459",10,27,12,양버즘나무,PTA,126.994908786,37.485557198
"4460",11,40,6,양버즘나무,PTA,126.987764772,37.489246877
"4461",6,37,8,느티나무,ZS,127.024362281,37.460387929
"4462",5,11,3,은행나무,GB,127.056143864,37.446824447
"4463",7,25,7,은행나무,GB,127.044633028,37.471537585
"4464",5,18,3,은행나무,GB,127.025073018,37.469900714
"4465",6,18,4,은행나무,GB,127.047764849,37.468866247
"4466",10,39,8,양버즘나무,PTA,127.038334015,37.469583796
"4467",6,19,4,은행나무,GB,127.041454935,37.469552508
"4468",14,40,7,양버즘나무,PTA,126.989001556,37.487331223
"4469",7,37,10,느티나무,ZS,127.012652133,37.480153597
"4470",8,33,8,양버즘나무,PTA,127.035218298,37.463342473
"4471",7,13,2,은행나무,GB,127.035278787,37.460463083
"4472",9,26,6,양버즘나무,PTA,126.991803973,37.482968872
"4473",10,16,4,양버즘나무,PTA,127.024938175,37.487407852
"4474",0,9,0,느티나무,ZS,127.021463974,37.482939752
"4475",8,17,6,양버즘나무,PTA,127.034157196,37.464557344
"4476",6,20,5,은행나무,GB,127.045594184,37.46729369
"4477",6,11,2,메타세쿼이아,TB,127.001401283,37.47507038
"4478",9,22,6,양버즘나무,PTA,127.013764419,37.492637321
"4479",9,17,3,느티나무,ZS,127.078526872,37.459400817
"4480",5,23,5,칠엽수,AC,127.012945916,37.4975069
"4481",5,15,3,느티나무,ZS,126.982995329,37.485364356
"4482",15,23,4,양버즘나무,PTA,127.040457949,37.479057104
"4483",7,36,7,은행나무,GB,127.044827677,37.472588039
"4484",8,25,5,양버즘나무,PTA,127.023998006,37.491155778
"4485",8,22,8,양버즘나무,PTA,127.038462555,37.477381929
"4486",7,17,6,은행나무,GB,127.044835195,37.477427623
"4487",9,27,8,느티나무,ZS,127.031494364,37.483801774
"4488",7,8,1,은행나무,GB,127.037373657,37.459800876
"4489",12,31,4,양버즘나무,PTA,127.041366949,37.480363636
"4490",12,27,8,양버즘나무,PTA,127.007604985,37.511140843
"4491",13,17,6,은행나무,GB,127.042548819,37.482497981
"4492",5,8,3,단풍나무,MP,126.992248157,37.487400712
"4493",9,27,6,느티나무,ZS,127.075712522,37.45840858
"4494",11,28,7,양버즘나무,PTA,126.996459019,37.488589299
"4495",7,28,5,느티나무,ZS,127.054293519,37.459718411
"4496",0,9,0,느티나무,ZS,127.019278642,37.482343443
"4497",6,15,4,은행나무,GB,126.987701639,37.460834924
"4498",9,18,3,양버즘나무,PTA,127.013558493,37.514328131
"4499",13,41,8,양버즘나무,PTA,127.001482519,37.504212861
"4500",4,13,2,은행나무,GB,127.022103858,37.483060412
"4501",12,35,12,가중나무,AA,127.00836525,37.515259658
"4502",7,22,4,느티나무,ZS,127.053121261,37.460221819
"4503",10,23,4,양버즘나무,PTA,127.005681296,37.480058067
"4504",10,30,6,양버즘나무,PTA,126.989414908,37.486684483
"4505",8,17,4,은행나무,GB,127.006131515,37.491500203
"4506",9,24,6,느티나무,ZS,127.073524018,37.457971957
"4507",12,32,8,양버즘나무,PTA,126.982636901,37.488935047
"4508",7,14,2,은행나무,GB,127.045246725,37.467498661
"4509",8,31,3,양버즘나무,PTA,127.038656802,37.471894207
"4510",6,19,4,은행나무,GB,127.048831755,37.469641423
"4511",14,32,12,느티나무,ZS,127.085564618,37.462005431
"4512",9,20,5,양버즘나무,PTA,127.009804876,37.498747462
"4513",7,22,5,느티나무,ZS,127.053081297,37.460239633
"4514",6,28,8,느티나무,ZS,127.014636653,37.457344822
"4515",6,41,6,느티나무,ZS,127.021753157,37.460488482
"4516",6,26,6,은행나무,GB,127.046288322,37.472110773
"4517",8,24,8,양버즘나무,PTA,127.03411672,37.464928585
"4518",9,17,4,양버즘나무,PTA,127.011112354,37.51260711
"4519",7,9,2,은행나무,GB,127.036639567,37.460433785
"4520",12,41,8,양버즘나무,PTA,127.008256605,37.491077121
"4521",8,32,5,양버즘나무,PTA,127.024634427,37.491498063
"4522",8,26,8,양버즘나무,PTA,127.034153104,37.46543733
"4523",9,40,12,양버즘나무,PTA,127.030568104,37.491313306
"4524",8,29,6,느티나무,ZS,127.059415182,37.457521416
"4525",9,29,5,양버즘나무,PTA,127.025079519,37.494976224
"4526",5,10,2,메타세쿼이아,TB,127.00259803,37.475307268
"4527",11,33,6,양버즘나무,PTA,127.006640802,37.491655484
"4528",11,24,5,양버즘나무,PTA,126.990627677,37.484981209
"4529",11,25,12,양버즘나무,PTA,126.994793711,37.485736923
"4530",7,12,4,은행나무,GB,126.98575167,37.468974361
"4531",4,27,6,느티나무,ZS,127.044406981,37.464658401
"4532",11,30,10,양버즘나무,PTA,127.008228208,37.51146042
"4533",14,32,6,양버즘나무,PTA,127.002416058,37.503085692
"4534",7,29,6,느티나무,ZS,127.046767914,37.462959729
"4535",7,22,6,은행나무,GB,127.048000855,37.46949225
"4536",8,24,5,은행나무,GB,127.010449452,37.493836641
"4537",6,15,3,메타세쿼이아,TB,127.01884013,37.510462669
"4538",13,33,8,양버즘나무,PTA,126.991219074,37.498047698
"4539",9,31,8,양버즘나무,PTA,127.035279352,37.467735352
"4540",7,16,3,은행나무,GB,126.98820873,37.465940036
"4541",6,28,7,은행나무,GB,127.043824157,37.474098301
"4542",6,29,8,느티나무,ZS,127.022776043,37.460188842
"4543",6,11,3,은행나무,GB,127.048339042,37.456978312
"4544",7,38,8,느티나무,ZS,127.081882843,37.461827894
"4545",5,11,2,메타세쿼이아,TB,126.997350668,37.473732239
"4546",9,31,8,느티나무,ZS,127.03482547,37.484385728
"4547",6,24,5,메타세쿼이아,TB,127.021464273,37.461639643
"4548",6,24,6,느티나무,ZS,127.013124846,37.457522869
"4549",4,23,6,느티나무,ZS,127.016485144,37.457679588
"4550",4,30,10,느티나무,ZS,127.086575942,37.462129014
"4551",9,18,5,양버즘나무,PTA,127.019462929,37.510657713
"4552",6,37,8,느티나무,ZS,127.025048675,37.460355815
"4553",7,31,6,메타세쿼이아,TB,127.020695515,37.460871398
"4554",12,33,7,양버즘나무,PTA,127.009913669,37.492663613
"4555",11,27,6,양버즘나무,PTA,127.00732748,37.491594096
"4556",9,23,6,느티나무,ZS,127.079859218,37.460321959
"4557",5,13,3,은행나무,GB,127.056868794,37.446308582
"4558",5,16,4,은행나무,GB,127.023647622,37.472156657
"4559",8,18,7,양버즘나무,PTA,127.038925532,37.472656294
"4560",13,15,3,은행나무,GB,127.019536747,37.515401541
"4561",6,20,3,은행나무,GB,126.985140079,37.469439217
"4608",4,20,3,느티나무,ZS,126.991484479,37.486937856
"4562",6,32,7,느티나무,ZS,127.050770384,37.460855294
"4563",7,10,2,은행나무,GB,126.997018711,37.503902179
"4564",9,17,3,양버즘나무,PTA,127.017698875,37.485403944
"4565",6,12,4,은행나무,GB,127.056302519,37.446836522
"4566",9,30,6,가중나무,AA,127.014175082,37.5152045
"4567",12,36,12,양버즘나무,PTA,127.029108701,37.494382756
"4568",13,33,12,느티나무,ZS,127.085364904,37.46194212
"4569",7,20,8,회화나무,STJ,127.011264008,37.484869823
"4570",8,26,6,느티나무,ZS,127.047564823,37.462235054
"4571",9,14,2,메타세쿼이아,TB,127.001982363,37.505443047
"4572",8,33,5,양버즘나무,PTA,127.014103126,37.488302488
"4573",9,26,8,양버즘나무,PTA,126.997489737,37.481916356
"4574",13,24,7,양버즘나무,PTA,127.039340887,37.478433126
"4575",6,18,5,느티나무,ZS,127.066891335,37.455626847
"4576",13,38,8,양버즘나무,PTA,127.008268069,37.490267099
"4577",8,28,3,은행나무,GB,126.986764391,37.501553516
"4578",4,8,2,은행나무,GB,127.024515517,37.469282008
"4579",6,16,4,은행나무,GB,127.04818836,37.457110417
"4580",8,16,4,은행나무,GB,127.005529961,37.510050896
"4581",11,27,8,양버즘나무,PTA,126.99509964,37.485624398
"4582",11,45,8,양버즘나무,PTA,127.006437542,37.494798043
"4583",7,10,3,은행나무,GB,127.004062447,37.502219793
"4584",10,26,4,양버즘나무,PTA,127.014778308,37.509292256
"4585",12,24,6,양버즘나무,PTA,126.989228114,37.49458836
"4586",9,27,5,양버즘나무,PTA,127.017011614,37.489183575
"4587",0,9,0,느티나무,ZS,127.021828949,37.482993477
"4588",7,8,3,메타세쿼이아,TB,127.043113289,37.479912788
"4589",6,27,7,느티나무,ZS,127.011008431,37.456524838
"4590",10,37,7,양버즘나무,PTA,127.013356886,37.512795578
"4591",11,25,6,양버즘나무,PTA,126.985260945,37.490837415
"4592",8,18,3,느티나무,ZS,127.061726683,37.456527752
"4593",6,23,6,느티나무,ZS,126.988083959,37.486008061
"4594",11,38,10,양버즘나무,PTA,126.99847501,37.499989286
"4595",14,27,6,양버즘나무,PTA,127.037650424,37.481215495
"4596",7,16,3,은행나무,GB,126.99200807,37.493394178
"4597",12,41,10,느티나무,ZS,127.012445169,37.498368145
"4598",11,28,7,양버즘나무,PTA,126.982988426,37.494736004
"4599",6,32,6,양버즘나무,PTA,127.016552369,37.484386351
"4600",10,33,6,양버즘나무,PTA,127.004030527,37.49888242
"4601",11,32,6,양버즘나무,PTA,126.982210753,37.482863387
"4602",12,39,12,양버즘나무,PTA,127.009344741,37.498603004
"4603",8,12,4,은행나무,GB,127.038847567,37.462529003
"4604",6,10,2,은행나무,GB,127.051721702,37.452673084
"4605",11,30,11,양버즘나무,PTA,126.996731197,37.48857716
"4606",6,39,10,느티나무,ZS,127.014464847,37.480895481
"4607",4,14,4,은행나무,GB,127.01250047,37.482321997
"4609",6,31,8,느티나무,ZS,127.049930061,37.461218553
"4610",4,8,2,꽃사과,PRS,126.994794622,37.487855782
"4611",10,19,5,은행나무,GB,126.99843335,37.498369535
"4612",3,29,6,느티나무,ZS,127.067881971,37.456301931
"4613",7,14,3,은행나무,GB,127.010453544,37.512494356
"4614",7,18,4,은행나무,GB,127.003220029,37.508697232
"4615",5,12,4,은행나무,GB,127.028414224,37.472494232
"4616",8,14,3,은행나무,GB,127.025804007,37.501293632
"4617",0,9,0,느티나무,ZS,127.017338191,37.481789898
"4618",6,18,5,은행나무,GB,127.010198718,37.494346114
"4619",5,11,2,메타세쿼이아,TB,127.002905201,37.475787658
"4620",7,18,3,은행나무,GB,127.024886092,37.469850699
"4621",8,24,6,양버즘나무,PTA,126.993480017,37.480013248
"4622",9,32,6,양버즘나무,PTA,127.011685854,37.50925198
"4623",8,22,4,느티나무,ZS,127.08089752,37.460312706
"4624",6,25,8,느티나무,ZS,127.026003451,37.460318159
"4625",8,16,6,은행나무,GB,127.005177207,37.509830979
"4626",8,25,5,양버즘나무,PTA,127.015320355,37.486357303
"4627",6,20,7,회화나무,STJ,127.01101117,37.485400143
"4628",9,16,5,양버즘나무,PTA,127.038940015,37.476299626
"4629",12,40,6,가중나무,AA,127.00342448,37.507939619
"4630",10,22,10,양버즘나무,PTA,127.009063012,37.51167015
